Parent mesh: 480 elements, 623 vertices
Cylinder submesh: NE=288 NV=399 ndofs=2717 bdr_attrs=6..9
Cylinder ess vdofs: 593
Block submesh: NE=192 NV=336 ndofs=2080 bdr_attrs=1..9
Block ess vdofs (walls 1-4): 416
Block initial BC dofs (nonzero): 416
step 1090, t = 0.021799999999999282  block: sum=1.005707e3 min=7.834766e-2 max=1.000000e0  cyl: sum=6.197071e1 min=-2.378871e-2 max=1.506486e-1
step 1100, t = 0.021999999999999274  block: sum=1.009750e3 min=8.082893e-2 max=1.000000e0  cyl: sum=6.348172e1 min=-2.384218e-2 max=1.532281e-1
step 1110, t = 0.022199999999999265  block: sum=1.013778e3 min=8.332502e-2 max=1.000000e0  cyl: sum=6.500406e1 min=-2.389276e-2 max=1.558110e-1
step 1120, t = 0.022399999999999257  block: sum=1.017791e3 min=8.583536e-2 max=1.000000e0  cyl: sum=6.653753e1 min=-2.394025e-2 max=1.583971e-1
step 1130, t = 0.02259999999999925  block: sum=1.021788e3 min=8.835938e-2 max=1.000000e0  cyl: sum=6.808194e1 min=-2.398449e-2 max=1.609859e-1
step 1140, t = 0.02279999999999924  block: sum=1.025770e3 min=9.089651e-2 max=1.000000e0  cyl: sum=6.963709e1 min=-2.402528e-2 max=1.635771e-1
step 1150, t = 0.022999999999999233  block: sum=1.029737e3 min=9.344621e-2 max=1.000000e0  cyl: sum=7.120281e1 min=-2.406245e-2 max=1.661704e-1
step 1160, t = 0.023199999999999225  block: sum=1.033689e3 min=9.600793e-2 max=1.000000e0  cyl: sum=7.277891e1 min=-2.409583e-2 max=1.687656e-1
step 1170, t = 0.023399999999999217  block: sum=1.037626e3 min=9.858114e-2 max=1.000000e0  cyl: sum=7.436519e1 min=-2.412525e-2 max=1.713622e-1
step 1180, t = 0.02359999999999921  block: sum=1.041547e3 min=1.011653e-1 max=1.000000e0  cyl: sum=7.596150e1 min=-2.415055e-2 max=1.739601e-1
step 1190, t = 0.0237999999999992  block: sum=1.045455e3 min=1.037600e-1 max=1.000000e0  cyl: sum=7.756765e1 min=-2.417157e-2 max=1.765590e-1
step 1200, t = 0.023999999999999192  block: sum=1.049347e3 min=1.063646e-1 max=1.000000e0  cyl: sum=7.918348e1 min=-2.418815e-2 max=1.791585e-1
step 1210, t = 0.024199999999999184  block: sum=1.053224e3 min=1.089787e-1 max=1.000000e0  cyl: sum=8.080880e1 min=-2.420014e-2 max=1.817585e-1
step 1220, t = 0.024399999999999176  block: sum=1.057087e3 min=1.116019e-1 max=1.000000e0  cyl: sum=8.244346e1 min=-2.420741e-2 max=1.844527e-1
step 1230, t = 0.024599999999999168  block: sum=1.060935e3 min=1.142335e-1 max=1.000000e0  cyl: sum=8.408729e1 min=-2.420981e-2 max=1.871637e-1
step 1240, t = 0.02479999999999916  block: sum=1.064769e3 min=1.168733e-1 max=1.000000e0  cyl: sum=8.574013e1 min=-2.420719e-2 max=1.898701e-1
step 1250, t = 0.02499999999999915  block: sum=1.068588e3 min=1.195207e-1 max=1.000000e0  cyl: sum=8.740183e1 min=-2.419944e-2 max=1.925719e-1
step 1260, t = 0.025199999999999143  block: sum=1.072393e3 min=1.221752e-1 max=1.000000e0  cyl: sum=8.907222e1 min=-2.418642e-2 max=1.952689e-1
step 1270, t = 0.025399999999999135  block: sum=1.076183e3 min=1.248366e-1 max=1.000000e0  cyl: sum=9.075115e1 min=-2.416802e-2 max=1.979611e-1
step 1280, t = 0.025599999999999127  block: sum=1.079960e3 min=1.275043e-1 max=1.000000e0  cyl: sum=9.243848e1 min=-2.414410e-2 max=2.006483e-1
step 1290, t = 0.02579999999999912  block: sum=1.083721e3 min=1.301780e-1 max=1.000000e0  cyl: sum=9.413406e1 min=-2.411457e-2 max=2.033306e-1
step 1300, t = 0.02599999999999911  block: sum=1.087469e3 min=1.328572e-1 max=1.000000e0  cyl: sum=9.583774e1 min=-2.407931e-2 max=2.060079e-1
step 1310, t = 0.026199999999999102  block: sum=1.091203e3 min=1.355415e-1 max=1.000000e0  cyl: sum=9.754937e1 min=-2.403821e-2 max=2.086800e-1
step 1320, t = 0.026399999999999094  block: sum=1.094922e3 min=1.382307e-1 max=1.000000e0  cyl: sum=9.926882e1 min=-2.399118e-2 max=2.113469e-1
step 1330, t = 0.026599999999999086  block: sum=1.098628e3 min=1.409242e-1 max=1.000000e0  cyl: sum=1.009959e2 min=-2.393812e-2 max=2.140086e-1
step 1340, t = 0.026799999999999078  block: sum=1.102319e3 min=1.436218e-1 max=1.000000e0  cyl: sum=1.027306e2 min=-2.387894e-2 max=2.166649e-1
step 1350, t = 0.02699999999999907  block: sum=1.105997e3 min=1.463231e-1 max=1.000000e0  cyl: sum=1.044727e2 min=-2.381356e-2 max=2.193159e-1
step 1360, t = 0.02719999999999906  block: sum=1.109661e3 min=1.490277e-1 max=1.000000e0  cyl: sum=1.062220e2 min=-2.374188e-2 max=2.219614e-1
step 1370, t = 0.027399999999999054  block: sum=1.113311e3 min=1.517353e-1 max=1.000000e0  cyl: sum=1.079785e2 min=-2.366383e-2 max=2.246015e-1
step 1380, t = 0.027599999999999045  block: sum=1.116948e3 min=1.544456e-1 max=1.000000e0  cyl: sum=1.097421e2 min=-2.357934e-2 max=2.272360e-1
step 1390, t = 0.027799999999999037  block: sum=1.120570e3 min=1.571582e-1 max=1.000000e0  cyl: sum=1.115125e2 min=-2.348834e-2 max=2.298649e-1
step 1400, t = 0.02799999999999903  block: sum=1.124179e3 min=1.598729e-1 max=1.000000e0  cyl: sum=1.132897e2 min=-2.339076e-2 max=2.324881e-1
step 1410, t = 0.02819999999999902  block: sum=1.127775e3 min=1.625894e-1 max=1.000000e0  cyl: sum=1.150735e2 min=-2.328653e-2 max=2.351057e-1
step 1420, t = 0.028399999999999013  block: sum=1.131357e3 min=1.653073e-1 max=1.000000e0  cyl: sum=1.168639e2 min=-2.317560e-2 max=2.377175e-1
step 1430, t = 0.028599999999999005  block: sum=1.134926e3 min=1.680263e-1 max=1.000000e0  cyl: sum=1.186607e2 min=-2.305791e-2 max=2.403235e-1
step 1440, t = 0.028799999999998997  block: sum=1.138481e3 min=1.707462e-1 max=1.000000e0  cyl: sum=1.204637e2 min=-2.293341e-2 max=2.429237e-1
step 1450, t = 0.02899999999999899  block: sum=1.142023e3 min=1.734667e-1 max=1.000000e0  cyl: sum=1.222730e2 min=-2.280206e-2 max=2.455180e-1
step 1460, t = 0.02919999999999898  block: sum=1.145552e3 min=1.761876e-1 max=1.000000e0  cyl: sum=1.240884e2 min=-2.276790e-2 max=2.481065e-1
